title,Number_of_tags,class_val
This Hedgehog Is So Fat He Can't Even Roll Up Into A Ball Any More,5,1
21 Cheap And Easy Decorating Tricks For Renters,6,1
17 Pet Names That You And Your Significant Other Might Want To Steal,4,1
22 Pictures That Won't Make Sense To Anyone Who Doesn't Wear Lipstick,4,1
Henry Cavill Asked Kids If They Liked Batman More Than Superman,7,1
48 Rules All Long-Term Female Friends Follow,4,1
This Guy Was Fined For Burping Too Loudly At An Amusement Park,6,1
People On The Internet Have Fallen In Love With This Handsome Carrot Picker - BuzzFeed News,3,1
19 Ways To Make Your Bed Work Without A Headboard,5,1
A Man Pulled A Shark Out Of The Ocean To Take A Picture With It - BuzzFeed News,3,1
9 New Facts That Prove Hollywood Has A Diversity Problem,7,1
"Meet Blindy, The Inspirational Blind Penguin Who Is Looking For A New Home",5,1
This Couple Got Their Ancestry Traced And It Didn't Go As Planned,10,1
A Disney Illustrator Created New Princesses Based On Real Women,8,1
These Instagram Models Have The Perfect Response To Unwanted Dick Pics,10,1
Deliberate Killing Of Dog By Police On Motorway Referred To Watchdog - BuzzFeed News,4,1
"If ""Harry Potter"" Characters Were In ""Game Of Thrones""",3,1
Can You Identify These Famous Locations From Google Earth,3,1
Which Underrated Disney Movie Are You Based On Your Zodiac Sign,6,1
These Two Tests Will Reveal One Good And One Bad Truth About You,6,1
17 Times Jordin Sparks Totally Slayed The Instagram Game,5,1
20 Times Urban Dictionary Straight Up Ruined Your Favorite Animals,4,1
John Oliver Sums Up Hollywood Whitewashing,7,1
"Teen Behind Viral ""Damn Daniel"" Video Gets Swatted With Fake 911 Call - BuzzFeed News",6,1
Should You Be Best Friends With Kendall Or Kylie,5,1
"You Have To Look At This Man Who Will Play Johnny In ABC's ""Dirty Dancing"" Remake",6,1
19 Tweets About Death That Are Way Too Funny Not To Laugh At,5,1
26 People Who Should Not Be Left Alone,2,1
28 Songs From The Early '00s That You Forgot Existed,9,1
"We Tried The New Starbucks ""Butterbeer"" Drink And Dumbledore Would Definitely Approve",5,1
"18 Notable Butts In Bosch's ""Garden Of Earthly Delights""",6,1
"It Doesn't Sound Like Milo Ventimiglia Has Good ""Gilmore Girls"" News For Team Jess Fans",7,1
Here Are The Best Bags And Packing Tips For Every Trip,10,1
14 Ways Doing Theater As A Kid Can Help You As An Adult,7,1
21 Times Chris Pratt Was Too Good For This World,4,1
This Video Beautifully Shows How Difficult It Can Be To Read Lips,9,1
21 Things Southerners Find Kind Of Strange About The North,4,1
This Is What The Disney Princess Voice Actors Would Look Like As Their Characters,9,1
Should You Actually Move To Canada,4,1
"This Artist Painted Lin-Manuel Miranda's ""Hamilton"" On A Ten-Dollar Bill",10,1
17 Pictures That Will Leave You With One Very Important Question,6,1
"How Well Do You Remember Season 1 Of ""The Simpsons""",4,1
What People Said About Celebrities 9 Years Ago Vs. Today,0,1
21 Things Only MAC Lovers Can Truly Appreciate,10,1
"The Goddam Internet Did It Again With This Lip-Dub Of Olivia From ""The Bachelor""",7,1
"Here's Why Your Period Is Late, Missing, Or Weird",5,1
11 Things You've Definitely Googled Before,2,1
"Zac Efron And The Rock Are Looking Extra Fine On The Set Of ""Baywatch""",4,1
This Music Video Starring All Dogs Is Fucking Insane,5,1
This Couple Got Married Underwater Surrounded By Sharks And Fish - BuzzFeed News,5,1
This Mom Caught Her Little Girl Turning Her Baby Sister Into A Zebra With A Permanent Marker,4,1
"Guys, ""America's Next Top Model"" Is Returning To TV",4,1
A Minute With Kendall Jenner And Her Wax Figure,3,1
21 Truths About Trying To Get Pregnant,6,1
Just 19 Hilarious Things Muslims On The Internet Have Blessed Us With,5,1
19 Things That Happen When Your BFF Is Basically Your Sister,10,1
21 Wonderful Coats That Are Completely Perfect For Spring,7,1
What's The Best Cheap Dinner You've Ever Made At A Hostel,4,1
"Can You Finish These Iconic ""Grey's Anatomy"" Quotes",4,1
"Zac Efron Wore A ""Bae Watch"" Shirt To ""Baywatch"" Rehearsal",6,1
Gigi Hadid's 16-Year-Old Brother Just Got A Modeling Contract,10,1
"""Trainspotting"": Then Vs Now",10,1
Can You Identify These Iconic '80s Movies Based On A Screenshot,8,1
The 19 Creepiest And Weirdest Things Children Have Actually Said,6,1
Here's What 100 Years Of Black Men's Hair Trends Look Like,3,1
"""The People V. O.J. Simpson"" Reminds Us There Was A Time We Didn't Know Who The Kardashians Were",10,1
Cereal Isn't Cool In 2016,3,1
We Need To Talk About How Fucking Delicious Empanadas Are,10,1
21 Recipes For People Who Are Obsessed With Pancakes,5,1
This Is For Everyone Who Dips Their Fries In Their Wendy's Frosty,5,1
"The Director Of ""Creed"" Is Throwing A Star-Studded Free Event For Flint On Oscars Night - BuzzFeed News",9,1
23 Things Americans Can Honestly Never Understand About Britain,4,1
"Can You Tell What Joke It Is From ""The Simpsons"" From Just One Still",10,1
19 Pictures That Will Deeply Upset All Tea Lovers,4,1
27 Forgotten Trends All Early-'00s Girls Were Slightly Obsessed With,6,1
19 Incredibly Rare Endangered Baby Animals,8,1
Makeup On Instagram Vs. Makeup In Real Life,6,1
Beardless Guys Got Fake Beards For A Day And Found Their Hairy Alter Egos,7,1
27 Breathtaking Alternatives To A Traditional Wedding Bouquet,10,1
These Are The Photos By Indians Shortlisted In The World's Biggest Photography Contest,6,1
Steven Avery's New Lawyer Is Publicly Arguing His Case On Twitter,7,1
What's Going On Around The World Today - BuzzFeed News,0,1
I Settled The Brutal Twitter Beef Between Two Thomas The Tank Engine Reaction Accounts - BuzzFeed News,2,1
"Christian Bale Is Amazing In This Emotional Deleted Scene From ""The Big Short""",7,1
17 Minimalist Wardrobes That Will Make You Want To Throw Half Your Clothes Out,1,1
This Mother Designed Life-Changing Clothes For Her Son With Muscular Dystrophy,9,1
18 Dogs Who Are Stuck In Things But Doing Just Fine,4,1
Uzo Aduba On Why We Need More Characters Like Crazy Eyes,2,1
This Food Test Will Determine If You're Actually From Maryland,3,1
Jeb Bush Replied To This Liz Kendall Supporter's Email About A Guacamole Bowl - BuzzFeed News,6,1
19 Things Only Bridal Stylists Will Understand,7,1
Do You Belong With Anakin Skywalker Or Kylo Ren,4,1
"""How Come You Speak English So Well?"" And Other Questions About Indianness Abroad",10,1
This Test Will Determine If You're Actually From The Western Balkans,2,1
Tell Us Your Zodiac Sign And We'll Guess When You Went To Bed Last Night,8,1
People Are Posting Racist Comments On MAC's Instagram Of A Black Model,0,1
Labrador Retriever Is America's Most Popular Dog For 25th Straight Year - BuzzFeed News,6,1
"Can You Guess The Hogwarts House Of These ""Harry Potter"" Characters",9,1
Adorable Baby Gorilla Is Born After Rare C-Section,4,1
15 Sweet And Salty Desserts That Are Infinitely More Satisfying Than A Boyfriend,3,1
What Does Your Favorite Color Scheme Say About You,4,1
We Know Your Zodiac Sign Based On Your Favorite Cats,4,1
People Are Not Happy About Changes To The Starbucks Rewards Program - BuzzFeed News,3,1
Can You Identify The Romantic Comedy Based On A Single Quote,9,1
"Which ""Crazy Ex-Girlfriend"" Character Are You",3,1
Everything About This Kesha Thing Is Supremely Fucked Up,1,1
"Can You Identify The Band On The Cover Of ""Alternative Press""",4,1
"Can You Finish The ""Hamilton"" Lyric",9,1
We Know If You Own A Pair Of White Vans,3,1
Here Are The Different Types Of Moms You Meet,10,1
24 Underrated British Musicians You Need To Discover,2,1
What City Does Your Family Actually Belong In,9,1
Here's Proof All Beauty Brand Models Actually Look Exactly The Same,10,1
"Justin Trudeau Will Attend Toronto's Pride Parade, Making Him The First Canadian Prime Minister To Do So - BuzzFeed News",5,1
24 Underrated British Musicians You Need To Discover,2,1
What City Does Your Family Actually Belong In,9,1
Here's Proof All Beauty Brand Models Actually Look Exactly The Same,10,1
"Justin Trudeau Will Attend Toronto's Pride Parade, Making Him The First Canadian Prime Minister To Do So - BuzzFeed News",5,1
Kim Kardashian Has Shared The First Photo Of Saint West,1,1
23 Fast-Food Items You'll Never See Again In Your Life,9,1
16 Struggles All Smokers Can Relate To,6,1
22 Pictures That'll Give You Intense Flashbacks To 2006,9,1
This Piglet And Puppy's Unlikely Friendship Will Melt Your Heart,4,1
17 Times Rihanna Taught You How To Talk To Fuckboys,9,1
23 Things You'll Only Relate To If You're Slightly Obsessed With Makeup,5,1
23 Weird As Hell U.S. Laws You Won't Believe Are Real,10,1
"Can You Make It Through This Post Without Saying ""NOPE""",8,1
11 Scientific Predictions About The Future That Are Seriously Crazy,9,1
"Mitchum Huntzberger Might Be Coming Back To ""Gilmore Girls"" And Everything Is The Worst",6,1
"How People Who Have Struggled With Eating Disorders See ""Fat""",10,1
A 13-Year-Old Girl Allegedly Suffered Second-Degree Burns From Her Cell Phone - BuzzFeed News,7,1
Which Pair Of Damn Daniel's Shoes Are You,6,1
21 Reasons Minnesota Is Totally Overrated,6,1
Drake Shared A Sweet Instagram Post Thanking Rihanna For His Only No. 1 Songs,7,1
"Teen Allegedly Posed As A Senator, Got A Chauffeured Car, And Toured A School - BuzzFeed News",5,1
Would You Survive A Day In The Life Of A '90s Kid,4,1
28 Pictures That Will Guarantee You'll Finally Die Happy,3,1
You Need To Stop What You're Doing And Rewatch Victoria Beckham's 2007 Reality Show,5,1
Rihanna Just Posted The Most Perfect Response About Her Latest No. 1 Single,10,1
"""Game Of Thrones"" Map Magically Materializes On Coffee Shop Bench, White Walker Apocalypse Is Nigh",4,1
We Need To Stop Talking About Taylor Swift,5,1
Rihanna Now Has More No. 1 Singles Than Michael Jackson,6,1
27 Slightly Terrible Things That Happen Whenever You Go To Ikea,6,1
24 Things That Are The Answer To Your Plague Of Indecision,8,1
The Real Guide To Finding Which Hairstyle Flatters Your Face,9,1
A Pet Sitting Business Sued These Customers For Posting A Negative Yelp Review - BuzzFeed News,2,1
This New Fur Nail Trend Is Stressing Me The F Out,10,1
This Driving Quiz Will Determine If You're Actually From Los Angeles,10,1
An Emergency Plan Of Action For When A Family Member Follows You On Twitter,10,1
"Jennifer Lawrence Wore A Jacket That Says ""Perv""",2,1
"25 Reasons We Need Sookie St. James In The ""Gilmore Girls"" Revival",8,1
22 Photos That Won't Make Sense To People With Perfect Nails,6,1
9 Illustrated Tweets Guaranteed To Make You LOL,4,1
This Food Test Will Determine If You're Really From Florida,4,1
13 Things You Can Stop Feeling Bad About Right Now,5,1
"Arjun Kapoor Was In ""Neerja"" And No One Noticed",5,1
21 Super Calming Spaces That Will Make You Want To Meditate Right Now,9,1
"Rihanna And Drake Are So Cute In The ""Work"" Video It Hurts",6,1
If Cinderella Were Cuban-American,9,1
Drake Performed At A Bat Mitzvah And Made Some Tweens Very Happy,3,1
17 Things You'll Only Understand If You're Slightly Obsessed With Cats,10,1
How Many 2016 Academy Award-Nominated Films Have You Seen,9,1
Vogue China Photoshopped Gigi Hadid And People Are Pissed,3,1
This Photo Of Mark Zuckerberg Has People Predicting A Grim Future - BuzzFeed News,6,1
How Well Do You Know Fast Food Menu Items,7,1
I Tried Different Meditation Apps To Ease My Anxiety,8,1
17 Pictures That Are Perfect If You're Obsessed With Fried Chicken,4,1
19 People Who Sadly Didn't Get A Birthday Present This Year,4,1
7 Organizing Tricks You'll Actually Want To Try This Week,8,1
"Guess The Celebrity From Their ""The Simpsons"" Cameo",10,1
Here's Why Your Body Jerks Awake When You're Falling Asleep,6,1
21 Delectable Subscription Boxes Foodies Will Totally Love,7,1
19 Things That Won't Make Sense To Non-Twins,6,1
For Everyone Who's Standing By Kesha,1,1
"31 Of The Most Important Moments From The ""Friends"" Reunion",10,1
The Rock Just Instagrammed The First Photo Of The Cast Of The New Baywatch Movie,8,1
This Woman's Post On Poverty Went Viral And She Lost Her Job - BuzzFeed News,4,1
We Know Your Personality Based On Which Toast You Pick,6,1
Which Badass Witch Are You Based On Your Birth Month,4,1
This Man Is Teaching People About The Dangers Of The Zika Virus Through Dancehall Music - BuzzFeed News,3,1
How To Never Fuck Up Your Poached Eggs Again,10,1
Which Popular '90s Phrase Should You Bring Back In 2016,8,1
24 Pictures That Prove That There Is Nothing Cats Won't Sit On,4,1
Which Disney Song Are You Based On Your Zodiac Sign,8,1
This 106-Year-Old Woman Dancing For Joy As She Meets Barack Obama Will Warm Your Heart - BuzzFeed News,4,1
We Know How Old You Are Based On Your Favorite Kitten,6,1
Which TV Mom Should Be Your Mom,4,1
18 Crimes Against Makeup Committed In The '00s,5,1
We Know Exactly Where You Live,7,1
"22 Times Geralt Of Rivia From ""The Witcher 3"" Looked Sexy AF",7,1
What Percent Teenager Are You,6,1
"We Know Which ""Game Of Thrones"" Character You Fantasize About",6,1
"Are You More Fall Out Boy, Panic! At The Disco, Or Paramore",10,1
We Know How Many Twitter Followers You Have Based On Five Questions,4,1
What Percent Night Owl Are You,6,1
15 Struggles Everyone Who Has A Celebrity Crush Knows To Be True,3,1
What Is Your Stripper Song,7,1
Which Celebrities Were Born On The Same Day Of The Month As You,8,1
Damn! What Percent Daniel Are You,6,1
We Know Which Taylor Swift Hairstyle Would Look Best On You,9,1
19 Nancy Downs GIFs For When You Feel Like A Real ~Witch~,7,1
21 Ways To Cover Your Home With Pictures Of Your Own Cat,9,1
17 Things You Might Get If You're A PoC Fan Of Marvel,5,1
21 Photos That Will Really Make You Feel Super Old,5,1
12 Times Adulting Just Was Too Hard,4,1
"How Well Do You Know These Minor Details From ""Friends""",6,1
What Would One Of Your Sims Traits Be,7,1
25 Movies From The '00s That Are So Bad They're Good,8,1
How Exactly Do You Make An Animal Collective Album,8,1
"Can You Answer These Tough Questions About ""The Princess Bride""",3,1
What Does Your Name Say About Your Personality,4,1
We Found Out Whether Kim Kardashian's Tape Trick Actually Works,10,1
This Guy Watched His Megabus Explode And Tweeted The Whole Thing - BuzzFeed News,4,1
Taylor Swift Was Maid Of Honor At Her BFF's Wedding And It'll Give You All The Feels,3,1
26 Pictures People Without Kids Will Never Understand,4,1
19 Things Only University Of New South Wales Students Will Understand,8,1
Which Bad Bitch Anthem Are You Based On Your Zodiac,10,1
Can We Guess If You'll Get Married This Year Based On Your Favorite Emoji,7,1
22 Photos That Prove Black Girls Have Been Magic For A Long Time,4,1
21 Pressing Concerns Australians Have About American Food,10,1
17 Facts About 2007 That'll Make You Feel Fucking Ancient,4,1
"21 Places Chandler Bing Might Be Instead Of Reuniting With The ""Friends"" Cast",6,1
Can We Guess Your Zodiac Sign Based On The Pattern You Choose,5,1
14 Women Who Pushed Their Boob Potential To The Limit,4,1
This Food Test Will Determine If You're Actually From Michigan,5,1
21 Horrifying Images Of Animorphs,10,1
Kelly Rowland's Latest Instagram Pics Are The Epitome Of Black Girl Magic,9,1
15 Wonderfully Nerdy Subscription Boxes Every Culture Vulture Will Adore,8,1
"19 Tumblr Posts About ""Harry Potter"" That Will Make Your Day",2,1
We Know Which Band Breakup Left You The Most Heartbroken,7,1
What Struggle Would Only A Dancer Understand,10,1
24 Things All Theme Park Lovers Will Understand,10,1
19 Struggles Of Being A Person Who Can't Burp,7,1
Guys Had A Slumber Party For The First Time And Loved It,10,1
"Dude, You Can Actually Rent These Entire Islands On Airbnb",7,1
We Know If You're A Lipstick Or A Lip Gloss Fan,7,1
31 Beautiful Posters That Will Teach You A Damn Thing,10,1
Are You More Olivia Benson Or Olivia Benson,9,1
We Need To Discuss Global Treasure Alicia Vikander,3,1
Rob Thomas Apologizes After Trying To Make A Joke About Black Australians,5,1
19 Life-Altering Ways To Put Booze And Cake Together,8,1
32 Containers That Will Make You Want To Organize Immediately,9,1
Here's The Right Kind Of Lube For Every Kind Of Sex,10,1
7 Quick Tips For Anyone Trying To Eat Healthier,7,1
What Does Your Go-To Beverage Say About Your ~Thirst~,3,1
19 Things That Happen When You're Dating A Picky Eater,5,1
Here Are The Celebrities Who Have Come Out In Support Of Kesha,10,1
18 Things That Happen If You And Your Best Friend Hate The Same People,4,1
How Romantic Was Your Proposal,10,1
26 Reasons Engagement Rings Are So Much Better When They're Colorful,4,1
19 Conveniently Portable Items That Will Change Your Life,10,1
Elle King Is Rob Schneider's Daughter Because The World Is A Confusing Place,5,1
16 Chocolate Chip Cookies That Prove God Exists,0,1
7 Dinners To Make This Week,10,1
17 Mouthwatering Ways To Have A Love Affair With Strawberries,5,1
Morgan Freeman Is Really Old And Other Fun Facts,4,1
A Disney Illustrator Created New Princesses Based On Real Women,8,1
Can We Guess Which Part Of The '00s You Belong To,6,1
Master This Whole Parenting Thing With The BuzzFeed Parents Newsletter,3,1
How Much Of An Old Soul Are You,4,1
How Much Of Your Soul Has Been Destroyed By Working In Retail,6,1
Which Early '00s Pop Diva Are You Based On Your Zodiac,10,1
Can We Guess Your Favorite Animal Based On Your Favorite Actor,8,1
We Know How You'll Haunt People As A Ghost Based On Your Zodiac,8,1
